Company,Valuation(US$ billions),Valuation date,Industry,Country/countries,Founder(s)
PsiQuantum,3.15,July 2021[194],Quantum computing,US,
SpotOn,3.15,September 2021[195],Financial technology,US,
TiendaNube,3.1,August 2021[196],E-commerce,Argentina,
SentinelOne,3.1,November 2020[197],Cybersecurity,US,
Udaan,3.1,January 2021[198],B2B e-commerce,India,"Vaibhav Gupta, Amod Malviya, Sujeet Kumar"
Wildlife,3+,August 2020[199],Mobile gaming,Brazil,
CMR Surgical,3,January 2021[200],Robotics,UK,
Traveloka,3,January 2017[201],Travel,Indonesia,
ActiveCampaign,3,April 2021[202],Marketing,US,
"Age of Learning, Inc.",3,June 2021[203],Education,US,
Automattic,3,September 2019[204],Internet,US,Matt Mullenweg
Calendly,3,January 2021[205],Software,US,Tope Awotona[206]
Contentful,3,July 2021[207],Content management system,Germany,
Delhivery,3,May 2021[208],Logistics,India,
Forter,3,May 2021[209],Software,Israel /  US,
Grafana Labs,3,August 2021[210],Software,US,
Groww,3,April 2021[211],Financial technology,India,"Lalit Keshre, Harsh Jain, Ishan Bansal, Neeraj Singh"
Hinge Health,3,January 2021[212],Healthcare,US,
Horizon Robotics,3,February 2018[213],Semiconductors,China,
Lucid Software,3,June 2021[214],Software,US,
MessageBird,3,October 2020[215],Cloud communications,Netherlands,
Paytm Mall,3,July 2019[216],E-commerce,India,
Pine Labs,3,May 2021[217],Financial technology,India,"Lokvir Kapoor, Rajul Garg, Tarun Upaday"
Seismic,3,August 2021[218],Software,US,
Sky Mavis,3,October 2021[219],Video games,Vietnam,
Souche,3,September 2018[220],Marketplace,China,
TradingView,3,October 2021[221],Finance,UK,
Upstox,3,November 2021[222],Financial technology,India,
VANCL,3,February 2014[5],E-commerce,China,
VIPKID,3,June 2018[223],Education,China,
Warby Parker,3,August 2020[224],Retail,US,
Wefox,3,June 2021[225],Insurance,Germany
Yixia Technology,3,November 2016[129],Internet media,China,
OVO,2.9,March 2019[7],Financial technology,Indonesia,
Workrise,2.9,May 2021[226],Workforce management,US,
DriveWealth,2.85,August 2021[227],Financial technology,US,
BharatPe,2.8,August 2021[228],Financial technology,India,Ashneer Grover
Contentsquare,2.8,May 2021[229],Software as a service,France,
Graphcore,2.8,December 2020[230],Semiconductors,UK,
Icertis,2.8,March 2021[231],Software,India /  US,"Samir Bodas, Monish Darda."
OakNorth,2.8,February 2019[232],Finance,UK,
UnionPay,2.8,October 2016[129],Finance,China,
Urban Company,2.8,December 2021[233],Home improvement,India,
Bird,2.78,October 2019[234],Transportation,US,
Convoy,2.75,November 2019[235],Trucking,US,
Illumio,2.75,June 2021[236],Cybersecurity,US,
MasterClass,2.75,May 2021[237],Education technology,US,
Zipline,2.75,June 2021[238],Logistics,US,
Daangn Market,2.7,August 2021[239],E-commerce,South Korea,
Nextiva,2.7,September 2021[240],Software,US,
Tradeshift,2.7,March 2021[241],Financial technology,US,
Deliverect,1.4,January 2022[242],Ordering software for POS,Belgium,
Odoo,2.63,July 2021[243],CRM,Belgium,
AmWINS Group,2.6,October 2016[244],Insurance,US,
ManoMano,2.6,July 2021[245],E-commerce,France,
Pendo,2.6,July 2021[246],Software,US,
Sourcegraph,2.6,July 2021[247],Developer platform,US,
"New York General Group, Inc.",2.6,May 2022[248],Metaverse・Technology・Investment Banking,US,
Jumpcloud,2.56,September 2021[249],Software,US,
Cato Networks,2.5,October 2021 [250],Cybersecurity,Israel,
eToro,2.5,December 2020[251],Financial technology,Israel,
Infra.Market,2.5,August 2021[252],Marketplace,India,"Aaditya Sharda, Souvik Sengupta"
Lenskart,2.5,May 2021[253],Retail,India,"Peyush Bansal, Amit Chaudhary, Sumeet Kapahi"
Monzo,2.5,June 2019[254],Financial services,UK,
Ualá,2.45,November 2019[citation needed],Personal finance,Argentina,
HoneyBook,2.4,November 2021[255],Financial services,Israel /  US,
BitSight,2.4,September 2021[256],Cybersecurity,US,"Nagarjuna Venna, Stephen Boyer"
Exabeam,2.4,June 2021[257],Cybersecurity,US,
Paxos,2.4,April 2021[258],Cryptocurrency,US,
Mozido,2.39,October 2014[5],E-commerce,US,
Wemakeprice,2.33,September 2015[259],E-commerce,South Korea,Huh Min
Highspot,2.3,February 2021[260],Sales,US,
MPL,2.3,September 2021[261],Mobile gaming,India,
Uptake,2.3,November 2017[262],Asset Performance Management,US,
Algolia,2.25,June 2021[263],Software,France /  US,
KeepTruckin,2.25,June 2021[264],Logistics,US,
Via Transportation,2.25,March 2020[265],Transportation,US,
Zume,2.25,November 2018[266],"Food packaging, Logistics",US,"Alex Garden, Julia Collins"
Acorns,2.2,May 2021[267],Financial technology,US,
Bitso,2.2,May 2021[268],Cryptocurrency,Mexico,
Gympass,2.2,June 2021[269],Fitness,Brazil /  US,
Kurly,2.2,July 2021[270],E-commerce,South Korea,
Transmit Security,2.2,June 2021[271],Cybersecurity,Israel /  US,
Addepar,2.17,June 2021[272],Financial technology,US,
Eightfold.ai,2.1+,June 2021[273],Artificial intelligence,US,
6sense,2.1,March 2021[274],Artificial intelligence,US,
C6 Bank [pt],2.1,December 2020[275],Financial services,Brazil,
Mambu,2.1,January 2021[276],Financial technology,Germany,
