"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Cabo Verde","CPV","Time to prepare and pay taxes (hours)","IC.TAX.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","186","186","186","186","186","186","186","186","186","186","180","180","180","180","180","","",
"Costa Rica","CRI","Time to prepare and pay taxes (hours)","IC.TAX.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","402","402","402","282","282","272","246","226","226","163","151","151","151","151","151","","",
"Caribbean small states","CSS","Time to prepare and pay taxes (hours)","IC.TAX.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","178","178","168","169.979166666667","170.604166666667","170.666666666667","178.153846153846","174","173.576923076923","174.615384615385","174.769230769231","187.615384615385","187.076923076923","183.153846153846","179.307692307692","","",
"Cuba","CUB","Time to prepare and pay taxes (hours)","IC.TAX.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Time to prepare and pay taxes (hours)","IC.TAX.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Time to prepare and pay taxes (hours)","IC.TAX.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Time to prepare and pay taxes (hours)","IC.TAX.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","149","149","149","149","146.5","146.5","146.5","145.5","127","127","122.5","119.5","","",
"Czech Republic","CZE","Time to prepare and pay taxes (hours)","IC.TAX.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","866","759","759","759","442","386","386","230","230","230","222","222","236","230","230","","",
"Germany","DEU","Time to prepare and pay taxes (hours)","IC.TAX.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","196","196","196","196","196","215","221","207","218","218","218","218","218","218","218","","",
"Djibouti","DJI","Time to prepare and pay taxes (hours)","IC.TAX.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66","66","66","66","66","90","82","76","76","76","76","76","76","76","76","","",
"Dominica","DMA","Time to prepare and pay taxes (hours)","IC.TAX.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","147","147","147","117","117","117","117","117","117","117","117","117","117","117","117","","",
"Denmark","DNK","Time to prepare and pay taxes (hours)","IC.TAX.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","135","135","135","135","135","135","135","130","132","132","132","132","132","132","132","","",
"Dominican Republic","DOM","Time to prepare and pay taxes (hours)","IC.TAX.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","232","286","286","480","324","324","324","324","324","316","316","317","317","317","317","","",
"Algeria","DZA","Time to prepare and pay taxes (hours)","IC.TAX.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","451","451","451","451","451","451","451","451","451","385","385","265","265","265","265","","",
"East Asia & Pacific (excluding high income)","EAP","Time to prepare and pay taxes (hours)","IC.TAX.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","269.527777777778","269.527777777778","268.194444444444","260.138888888889","224.805555555556","218.833333333333","218.166666666667","217.026315789474","226.214285714286","221.690476190476","218.428571428571","206.02380952381","198.419047619048","191.928571428571","188.285714285714","","",
"Early-demographic dividend","EAR","Time to prepare and pay taxes (hours)","IC.TAX.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","291.896226415094","294.830188679245","286.361111111111","279.383333333333","266.475925925926","266.931481481481","265.851851851852","277.651785714286","282.383278688525","279.391475409836","277.768524590164","274.203770491803","268.711147540984","268.38737704918","270.735737704918","","",
"East Asia & Pacific","EAS","Time to prepare and pay taxes (hours)","IC.TAX.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","244.166666666667","240.16","239.2","233.2","205.44","200.76","196.4","193.865384615385","201.448275862069","198.068965517241","194.879310344828","182.706896551724","176.620689655172","171.172413793103","168.051724137931","","",
